Player,Type,Sold_for_lakh,Cost_in_dollars,Prev_team,Curr_team,status,retention,Base_price(In Lakhs)
Sheldon Cottrell,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,75.0
Ishant Sharma,BOWLER,0.0,0.0,Delhi Capitals,Unsold,Unsold,In Auction,150.0
Qais Ahmad,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Piyush Chawla,BOWLER,0.0,0.0,Mumbai Indians,Unsold,Unsold,In Auction,100.0
Tabraiz Shamsi,BOWLER,0.0,0.0,Rajasthan Royals,Unsold,Unsold,In Auction,100.0
Ish Sodhi,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Sachin Baby,BATTER,0.0,0.0,Royal Challengers Bangalore,Unsold,Unsold,In Auction,20.0
Ricky Bhui,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Himanshu Rana,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Harnoor Singh,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Himmat Singh,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Virat Singh,BATTER,0.0,0.0,Sunrisers Hyderabad,Unsold,Unsold,In Auction,20.0
Arzan Nagwaswalla,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Akash Singh,BOWLER,0.0,0.0,Rajasthan Royals,Unsold,Unsold,In Auction,20.0
Yash Thakur,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Vasu Vats,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mujtaba Yousuf,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Chris Lynn,BATTER,0.0,0.0,Mumbai Indians,Unsold,Unsold,In Auction,150.0
Najibullah Zadran,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Charith Asalanka,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
George Garton,ALL-ROUNDER,0.0,0.0,Royal Challengers Bangalore,Unsold,Unsold,In Auction,50.0
Litton Das,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Niroshan Dickwella,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Andre Fletcher,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Rahmanullah Gurbaz,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Shai Hope,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Heinrich Klaasen,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Ben Mcdermott,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Kusal Mendis,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Kusal Perera,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Joshua Philippe,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,100.0
Reece Topley,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,75.0
Andrew Tye,BOWLER,0.0,0.0,Rajasthan Royals,Unsold,Unsold,In Auction,100.0
Sandeep Warrier,BOWLER,0.0,0.0,Kolkata Knight Riders,Unsold,Unsold,In Auction,50.0
Todd Astle,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,75.0
Akila Dhananjaya,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Zahir Khan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Keshav Maharaj,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Waqar Salamkheil,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Rahul Sharma,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Hayden Walsh,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Tanmay Agarwal,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shivam Chauhan,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Nikhil Gangta,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Rohan Kadam,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tom Kohler-Cadmore,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,40.0
Priyank Panchal,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sameer Rizvi,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ritwik Roy Chowdhury,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Apoorv Wankhade,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Atharva Ankolekar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tanay Thyagarajan,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ankush Bains,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Prashant Chopra,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Kedar Devdhar,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shreevats Goswami,WICKETKEEPER,0.0,0.0,Sunrisers Hyderabad,Unsold,Unsold,In Auction,20.0
Akshdeep Nath,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Aditya Tare,WICKETKEEPER,0.0,0.0,Mumbai Indians,Unsold,Unsold,In Auction,20.0
Upendra Singh Yadav,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ben Dwarshuis,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,30.0
Pankaj Jaswal,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Lukman Hussain Meriwala,BOWLER,0.0,0.0,Delhi Capitals,Unsold,Unsold,In Auction,20.0
Vyshak Vijay Kumar,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Zeeshan Ansari,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Yuvraj Chudasama,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Dharmendrasinh Jadeja,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Khrievitso Kense,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Prince Balwant Rai,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Pardeep Sahu,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jalaj Saxena,BOWLER,0.0,0.0,Punjab Kings,Unsold,Unsold,In Auction,30.0
Midhun Sudhesan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Martin Guptill,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,75.0
Usman Khawaja,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,150.0
Brandon King,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Janneman Malan,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Rilee Rossouw,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,100.0
Paul Stirling,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Hanuma Vihari,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
James Vince,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,200.0
Hazratullah Zazai,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Roston Chase,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,100.0
Ben Cutting,ALL-ROUNDER,0.0,0.0,Kolkata Knight Riders,Unsold,Unsold,In Auction,75.0
Lewis Gregory,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,150.0
Moises Henriques,ALL-ROUNDER,0.0,0.0,Punjab Kings,Unsold,Unsold,In Auction,100.0
Akeal Hosein,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Karim Janat,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Scott Kuggeleijn,ALL-ROUNDER,0.0,0.0,Royal Challengers Bangalore,Unsold,Unsold,In Auction,75.0
Pawan Negi,ALL-ROUNDER,0.0,0.0,Kolkata Knight Riders,Unsold,Unsold,In Auction,50.0
Taskin Ahmed,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Marchant De Lange,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,200.0
Dhawal Kulkarni,BOWLER,0.0,0.0,Mumbai Indians,Unsold,Unsold,In Auction,75.0
Saqib Mahmood,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,200.0
Kane Richardson,BOWLER,0.0,0.0,Royal Challengers Bangalore,Unsold,Unsold,In Auction,150.0
Naveen Ul Haq,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Harpreet Bhatia,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,40.0
Sudip Chatterjee,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Hiten Dalal,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Abhimanyu Easwaran,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Laurie Evans,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,40.0
Rahul Gahlaut,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Amandeep Khare,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mayank Rawat,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Dhruv Shorey,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Hayden Kerr,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Saurabh Kumar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shams Mulani,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Dhruv Patel,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Atit Sheth,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Utkarsh Singh,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
David Wiese,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Kaif Ahmad,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shubhum Arora,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Arun Karthick,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,40.0
Eknath Kerkar,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Kennar Lewis,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,40.0
Nikhil Naik,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Urvil Patel,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
B.R. Sharath,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
K.L. Shrijith,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mohit Avasthi,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sushant Mishra,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Matheesha Pathirana,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
G Periyasamy,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
M.Harishankar Reddy,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
R. Silambarasan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Aditya Thakare,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tanveer Ul Haq,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Prithviraj Yarra,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Satyajeet Bachhav,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Chintal Gandhi,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jacob Lintott,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Izharulhuq Naveed,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tanveer Sangha,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Manav Suthar,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Milind Tandon,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sagar Udeshi,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Kushaal Wadhwani,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Akshay Wakhare,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Darren Bravo,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,75.0
Shamrah Brooks,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Avishka Fernando,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Zubayr Hamza,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Pathum Nissaanka,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Kurtis Patterson,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Hashmatullah Shahidi,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Manoj Tiwary,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Ashton Agar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,200.0
Carlos Brath15000000e,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,75.0
Kedar Jadhav,ALL-ROUNDER,0.0,0.0,Sunrisers Hyderabad,Unsold,Unsold,In Auction,100.0
Colin Munro,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,150.0
Gulbadin Naib,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Keemo Paul,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,75.0
Parvez Rasool,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Dasun Shanaka,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Wesley Agar,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Shoriful Islam,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Josh Little,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Blessing Muzarabani,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Jayden Seales,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Mohit Sharma,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Barinder Sran,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Billy Stanlake,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,75.0
Neil Wagner,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Qamran Iqbal,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ishank Jaggi,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Rohan Kunnummal,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tanmay Mishra,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Yash Nahar,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shubham Singh Rohilla,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Alex Ross,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Naushad Shaikh,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Baba Aparajith,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Prayas Barman,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Yudhvir Charak,ALL-ROUNDER,0.0,0.0,Mumbai Indians,Unsold,Unsold,In Auction,20.0
Shubhang Hegde,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Roosh Kalaria,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tanush Kotian,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Kaushal Tambe,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shivank Vashisth,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Rahul Chandrol,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Harvik Desai,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Cam Fletcher,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Tarang Gohel,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Fazil Makaya,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ryan Rickelton,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sandeep Kumar Tomar,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Siddhesh Wath,WICKETKEEPER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Stephen Cheepurupalli,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Aniket Choudhary,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Kartikeya Kak,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ali Khan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,40.0
Kulwant Khejroliya,BOWLER,0.0,0.0,Delhi Capitals,Unsold,Unsold,In Auction,20.0
Ronit More,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
M Nidheesh,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Babasafi Pathan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Vidyadhar Patil,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Mukesh Kumar Singh,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
R. Alexandar,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Adithya Ashok,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jasmer Dhankhar,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Prerit Dutta,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jon Russ Jaggesar,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
S. Kishan Kumar,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Kevin Koththigoda,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Swaraj Wabale,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Curtis Campher,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Colin De Grandhomme,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,100.0
James Faulkner,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,100.0
Craig Overton,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,200.0
Wayne Parnell,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Samit Patel,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Thisara Perera,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Darcy Short,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,100.0
Murali Vijay,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Jack Wildermuth,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Hamish Bennett,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Daryn Dupavillon,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Fidel Edwards,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Hamid Hassan,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Lahiru Kumara,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Joel Paris,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
S. Sreesanth,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Oshane Thomas,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Blair Tickner,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Isuru Udana,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,50.0
Donavon Ferreira,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Bhupen Lalwani,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Henan Malik,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Pukhraj Mann,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shashwat Rawat,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jake Weatherald,BATTER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Gerald Coetzee,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Akshay Karnewar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Sumit Kumar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Abid Mushtaq,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Lone Muzaffar,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Ninad Rathva,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Shoun Roger,ALL-ROUNDER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Jaideep Bhambhu,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Nandre Burger,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Matt Kelly,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,30.0
V Koushik,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Akash Madhwal,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Amit Mishra,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Anuj Raj,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
Abhijeet Saket,BOWLER,0.0,0.0, Not Participated in IPL 2021,Unsold,Unsold,In Auction,20.0
